phone_number,email,l_id,l_name,salary_per_month
218-668-4310,jbrittanag@netvibes.com,2289012,Jerrold Brittan,39581
650-347-1969,dmantrupah@google.com.au,2502716,Dedra Mantrup,24594
415-298-7431,jcrosstonai@engadget.com,7716492,Jacki Crosston,39851
190-443-4305,morwellaj@bing.com,8679626,Masha Orwell,41395
346-491-1331,klohrensenak@chron.com,3995191,Kirstyn Lohrensen,32047
680-814-6291,jgalvinal@comcast.net,9052966,Jereme Galvin,33797
320-703-7802,arantoulam@sbwire.com,5162075,Anthia Rantoul,40000
441-767-8774,rbartalinian@dropbox.com,4727896,Reba Bartalini,21855
812-303-2192,vfennellao@cocolog-nifty.com,9998128,Vincenty Fennell,43474
677-458-9650,pstefiap@pen.io,9681450,Pearce Stefi,39711
951-443-2126,flealaq@ucsd.edu,9386347,Faina Leal,35739
491-817-7405,earundalear@shinystat.com,1812516,Eugene Arundale,20575
546-626-6170,mhuthartas@t-online.de,2295871,Melisa Huthart,22704
611-119-0177,lbreedsat@wufoo.com,2529079,Layton Breeds,27999
208-202-6307,ccrossinghamau@ftc.gov,7787435,Christoffer Crossingham,43014
161-905-8699,msaundersav@ask.com,4055375,Mikel Saunders,27661
109-623-8003,dcastelluzziaw@goo.ne.jp,1401452,Devland Castelluzzi,25559
159-696-6848,brevenax@w3.org,1593938,Brig Reven,35832
696-722-9678,tmaingotay@unblog.fr,8733974,Thorstein Maingot,35940
406-834-9186,acoltaz@moonfruit.com,2379493,Ariel Colt,37740
344-522-7448,lcouchmanb0@addthis.com,3711811,Laurens Couchman,28193
395-186-7706,lblaiklockb1@unesco.org,3555608,Lyndell Blaiklock,34523
773-929-3401,cmcimmieb2@slate.com,3467229,Case Mcimmie,38185
921-210-0008,mmartyginb3@google.es,8221190,Marshal Martygin,43902
